2 1  9  5  10  8
2 2  10  0  6  2 
2 3  8  9  11  1 
2 4  13  7  14  9 
2 5  4  0  4  0 
2 6  4  0  6  0 
2 7  11  9  9  8 
2 8  5  3  3  6 
2 9  9  7  8  6 
2 10  7  2  6  4 
2 11  12  10  14  3 
2 12  13  12  11  10 
1 1  7  5  9  8 
1 2  8  8  5  6 
1 3  16  18  11  9 
1 4  8  3  7  9 
1 5  6  3  13  9 
1 6  11  8  10  10 
1 7  12  7  9  8 
1 8  8  11  9  3 
1 9  14  12  11  4 
1 10  13  13  13  6 
1 11  13  9  9  9 
1 12  13  10  15  7 
1 13  14  11  12  8 
1 14  15  11  11  10 
1 15  13  10  15  9 
1 16  10  5  8  6 
1 17  10  3  7  7 
1 18  17  13  13  7 
1 19  10  6  10  7 
1 20  10  10  15  8 
1 21  14  7  11  5 
1 22  16  11  12  11 
1 23  10  7  14  6 
1 24  10  10  9  6 
1 25  10  7  10  10 
1 26  7  6  5  9 
1 27  15  12  10  6 
1 28  17  15  15  8 
1 29  16  13  16  9 
1 30  13  10  17  8 
1 31  13  10  17  10 
1 32  19  12  16  10 
1 33  19  15  17  11 
1 34  13  10  7  8 
1 35  15  11  12  8 
1 36  16  9  11  11 
1 37  14  13  14  9  
          
